ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,0,0,200,10,80,20,800,400,20,12,30
770,200,-12,0,0,220,10,80,20,800,400,20,12,30
758,200,-12,0,0,240,10,80,20,800,400,20,12,30
746,200,-12,0,0,260,10,80,20,800,400,20,12,30
734,200,-12,0,0,280,10,80,20,800,400,20,12,30
722,200,-12,0,0,300,10,80,20,800,400,20,12,30
710,200,-12,0,0,320,10,80,20,800,400,20,12,30
698,200,-12,0,0,340,10,80,20,800,400,20,12,30
686,200,-12,0,0,340,10,80,20,800,400,20,12,30
674,200,-12,0,0,340,10,80,20,800,400,20,12,30
662,200,-12,0,0,340,10,80,20,800,400,20,12,30
650,200,-12,0,0,340,10,80,20,800,400,20,12,30
638,200,-12,0,0,340,10,80,20,800,400,20,12,30
626,200,-12,0,0,340,10,80,20,800,400,20,12,30
614,200,-12,0,0,340,10,80,20,800,400,20,12,30
602,200,-12,0,0,340,10,80,20,800,400,20,12,30
590,200,-12,0,0,340,10,80,20,800,400,20,12,30
578,200,-12,0,0,340,10,80,20,800,400,20,12,30
566,200,-12,0,0,340,10,80,20,800,400,20,12,30
554,200,-12,0,0,340,10,80,20,800,400,20,12,30
542,200,-12,0,0,340,10,80,20,800,400,20,12,30
530,200,-12,0,0,340,10,80,20,800,400,20,12,30
518,200,-12,0,0,340,10,80,20,800,400,20,12,30
506,200,-12,0,0,340,10,80,20,800,400,20,12,30
494,200,-12,0,0,340,10,80,20,800,400,20,12,30
482,200,-12,0,0,340,10,80,20,800,400,20,12,30
470,200,-12,0,0,340,10,80,20,800,400,20,12,30
458,200,-12,0,0,340,10,80,20,800,400,20,12,30
446,200,-12,0,0,340,10,80,20,800,400,20,12,30
434,200,-12,0,0,340,10,80,20,800,400,20,12,30
422,200,-12,0,0,340,10,80,20,800,400,20,12,30
410,200,-12,0,0,340,10,80,20,800,400,20,12,30
398,200,-12,0,0,340,10,80,20,800,400,20,12,30
386,200,-12,0,0,340,10,80,20,800,400,20,12,30
374,200,-12,0,0,340,10,80,20,800,400,20,12,30
362,200,-12,0,0,340,10,80,20,800,400,20,12,30
350,200,-12,0,0,340,10,80,20,800,400,20,12,30
338,200,-12,0,0,340,10,80,20,800,400,20,12,30
326,200,-12,0,0,340,10,80,20,800,400,20,12,30
314,200,-12,0,0,340,10,80,20,800,400,20,12,30
302,200,-12,0,0,340,10,80,20,800,400,20,12,30
290,200,-12,0,0,340,10,80,20,800,400,20,12,30
278,200,-12,0,0,340,10,80,20,800,400,20,12,30
266,200,-12,0,0,340,10,80,20,800,400,20,12,30
254,200,-12,0,0,340,10,80,20,800,400,20,12,30
242,200,-12,0,0,340,10,80,20,800,400,20,12,30
